population	state	count
actual_undercoat	minecraft:grass_block{snowy=true}	6
actual_undercoat	minecraft:gravel	19
actual_undercoat	minecraft:gray_wool	274
actual_undercoat	minecraft:iron_ore	31
actual_undercoat	minecraft:light_gray_terracotta	32
actual_undercoat	minecraft:light_gray_wool	1345
actual_undercoat	minecraft:moss_block	10806
actual_undercoat	minecraft:mud	5332
actual_undercoat	minecraft:netherrack	4
actual_undercoat	minecraft:packed_mud	23
actual_undercoat	minecraft:pale_moss_block	16961
actual_undercoat	minecraft:pale_oak_wood{axis=x}	6
actual_undercoat	minecraft:pale_oak_wood{axis=y}	2553
actual_undercoat	minecraft:pale_oak_wood{axis=z}	13
actual_undercoat	minecraft:smooth_basalt	1360
actual_undercoat	minecraft:stone	25954
actual_undercoat	minecraft:tuff	280
actual_snow_surface	minecraft:acacia_wood{axis=y}	12266
actual_snow_surface	minecraft:acacia_wood{axis=z}	3
actual_snow_surface	minecraft:andesite	1398
actual_snow_surface	minecraft:basalt{axis=y}	2165
actual_snow_surface	minecraft:black_wool	78
actual_snow_surface	minecraft:blackstone	600
actual_snow_surface	minecraft:coal_ore	28
actual_snow_surface	minecraft:coarse_dirt	18
actual_snow_surface	minecraft:cobblestone	13570
actual_snow_surface	minecraft:cyan_terracotta	8236
actual_snow_surface	minecraft:diamond_block	361
actual_snow_surface	minecraft:dirt	422
actual_snow_surface	minecraft:dripstone_block	73
actual_snow_surface	minecraft:granite	12
actual_snow_surface	minecraft:grass_block{snowy=false}	20019
actual_snow_surface	minecraft:grass_block{snowy=true}	6
actual_snow_surface	minecraft:gravel	18
actual_snow_surface	minecraft:gray_wool	274
actual_snow_surface	minecraft:iron_ore	22
actual_snow_surface	minecraft:light_gray_terracotta	32
actual_snow_surface	minecraft:light_gray_wool	1343
actual_snow_surface	minecraft:moss_block	10806
actual_snow_surface	minecraft:mud	5330
actual_snow_surface	minecraft:netherrack	4
actual_snow_surface	minecraft:packed_mud	23
actual_snow_surface	minecraft:pale_moss_block	16925
actual_snow_surface	minecraft:pale_oak_wood{axis=x}	6
actual_snow_surface	minecraft:pale_oak_wood{axis=y}	2552
actual_snow_surface	minecraft:pale_oak_wood{axis=z}	13
actual_snow_surface	minecraft:smooth_basalt	1360
actual_snow_surface	minecraft:snow[layers=1]	232
actual_snow_surface	minecraft:snow[layers=2]	442
actual_snow_surface	minecraft:snow[layers=3]	474
actual_snow_surface	minecraft:snow[layers=4]	299
actual_snow_surface	minecraft:snow[layers=5]	3121
actual_snow_surface	minecraft:stone	24885
actual_snow_surface	minecraft:tuff	280
